Reference, Value, Footprint, Datasheet, JLCPCB Add, JLCPCB Cost, LCSC, Description, Manufacturer, Manufacturer Part No, Notes, Supplier 1, Supplier 1 Cost, Supplier 1 Part No, Supplier 2, Supplier 2 Cost, Supplier 2 Part No
P10,SERIAL,REInnovationFootprint:SIL-4_Grove_SCREW,,,,,,,,,,,,,,
SW1,UP,REInnovationFootprint:SMD_SW_6x3_5,,Y,0.0391,C319333,,,,,,,,,,
R4,47k,REInnovationFootprint:SM0805,,Y,0.004,C17713,,,,,,,,,,
D2,PHOTO DIODE,REInnovationFootprint:TH_LED-5MM_larg_pad,,,,,~,~,~,~,~,~,~,~,~,~
C1,10n,REInnovationFootprint:SM_C_0805,,Y,0.0105,C107135,,,,,,,,,,
P5,LOGO2,CuriousElectric3:TCEC_Words_13mm,,,,,,,,,,,,,,
P6,PCB,REInnovationFootprint:PCB_40mm_Round,,,,,,,,,,,,,,
P7,ENC,,https://www.rapidonline.com/pdf/30-3800e.pdf,,,,~,~,~,~,Rapid,4.37,30-3804,~,~,~
C5,100u,REInnovationFootprint:SM_4x5.3,,Y,0.0566,C134722,,,,,,,,,,
C6,100n,REInnovationFootprint:SM_C_0805,,Y,0.0108,C49678,,,,,,,,,,
U3,ADS1115,REInnovationFootprint:SM_MSOP10-0.5,,Y,4.7766,C37593,,,,,,,,,,
R3,10k,REInnovationFootprint:SM0805,~,Y,0.004,C17414,,,,,,,,,,
C3,100n,REInnovationFootprint:SM_C_0805,,Y,0.0108,C49678,,,,,,,,,,
R1,10k,REInnovationFootprint:SM0805,~,Y,0.0045,C38522,,,,,,,,,,
R2,10k,REInnovationFootprint:SM0805,~,Y,0.0045,C17414,,,,,,,,,,
R5,10k,REInnovationFootprint:SM0805,~,Y,0.004,C38522,,,,,,,,,,
C2,100n,REInnovationFootprint:SM_C_0805,,Y,0.0108,C49678,,,,,,,,,,
IC1,ATTINY85-P,REInnovationFootprint:SM_SOIC_8,,,,,,,,,,,,,,
J1,ISP,REInnovationFootprint:ISP_3x2,~,,,,,,,,,,,,,
R6,330R,REInnovationFootprint:SM0805,~,Y,0.005,C237764,,,,,,,,,,
D1,LED,REInnovationFootprint:SM0805_LED,~,Y,0.0135,C2293,,,,,,,,,,
U1,TSV911xxLx,REInnovationFootprint:SM_SOT-23-5,www.st.com/resource/en/datasheet/tsv911.pdf,Y,0.4576,C361052,,,,,,,,,,
J2,ADC,REInnovationFootprint:SIL-4_large_pad,~,,,,,,,,,,,,,
U2,LM75B,REInnovationFootprint:SM_SOIC_8,http://www.ti.com/lit/ds/symlink/lm75b.pdf,Y,0.3457,C34565,,,,,,,,,,
C4,100n,REInnovationFootprint:SM_C_0805,,Y,0.0108,C49678,,,,,,,,,,
P1,I2C_OLED,REInnovationFootprint:SIL-4_large_pad,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,COST,5.7688,,,,,,,,,,,
